Wall time,Step,Value
1621011233.178712,160,0.5789984464645386
1621011349.597304,576,0.578152060508728
1621011403.526169,768,0.5779014825820923
1621011547.340346,1280,0.5810890197753906
1621011565.355079,1344,0.580622673034668
1621011592.368444,1440,0.580694854259491
1621011664.97695,1696,0.5806570649147034
1621011692.063399,1792,0.5809223651885986
1621011826.927284,2272,0.579919159412384
1621011853.919751,2368,0.5798332691192627
1621012034.200881,3008,0.5790649056434631
1621012106.765159,3264,0.578991174697876
1621012143.15725,3392,0.5785072445869446
1621012324.083424,4032,0.5782683491706848
1621012441.40212,4448,0.5783883929252625
1621012540.813165,4800,0.5783300399780273
1621012586.109286,4960,0.5781533718109131
1621012613.301474,5056,0.578393816947937
1621012694.981326,5344,0.5782799124717712
1621012794.918504,5696,0.5784897804260254
1621012840.468273,5856,0.5786185264587402
1621012858.718796,5920,0.5787715315818787
1621012867.847383,5952,0.5789465308189392
1621012904.206266,6080,0.5795202255249023
1621012977.234649,6336,0.579276442527771
1621013059.035323,6624,0.5791981220245361
1621013104.5629,6784,0.5789517164230347
1621013204.862285,7136,0.5791518092155457
1621013259.070972,7328,0.5793806910514832
1621013304.299091,7488,0.5795291662216187
1621013440.012998,7968,0.5794445872306824
1621013494.345566,8160,0.5793331265449524
1621013539.615503,8320,0.5792460441589355
1621013602.852449,8544,0.5793592929840088
1621013638.984953,8672,0.5791861414909363
1621013657.038647,8736,0.5791139602661133
1621013829.159257,9344,0.5791398882865906
1621013874.329316,9504,0.5792346000671387
1621013928.44405,9696,0.5791224241256714
1621013973.623541,9856,0.5791347622871399
1621013991.698789,9920,0.5791502594947815
1621014064.142917,10176,0.579192042350769
1621014172.828478,10560,0.5788928866386414
1621014253.964737,10848,0.5787457227706909
1621014326.257232,11104,0.578697681427002
1621014470.783686,11616,0.578303873538971
1621014506.953584,11744,0.578315258026123
1621014597.420867,12064,0.5782454609870911
1621014998.258889,13472,0.5789333581924438
1621015007.35805,13504,0.5789915919303894
