Wall time,Step,Value
1622207573.253726,160,0.9070117473602295
1622207696.462326,576,0.7820117473602295
1622207753.365232,768,0.9382617473602295
1622207905.326727,1280,1.0945117473602295
1622207924.338,1344,0.9070117473602295
1622207952.816783,1440,0.7820117473602295
1622207971.844015,1504,0.8757617473602295
1622208028.911493,1696,0.9070117473602295
1622208057.420855,1792,0.9695117473602295
1622208200.423467,2272,1.0320117473602295
1622208228.98857,2368,0.8132617473602295
1622208276.722378,2528,0.8757617473602295
1622208353.174429,2784,0.8757617473602295
1622208420.162259,3008,0.9382617473602295
1622208498.444715,3264,0.8132617473602295
1622208527.169103,3360,0.9070117473602295
1622208536.74345,3392,0.9070117473602295
1622208603.843934,3616,0.9382617473602295
1622208651.878529,3776,0.9382617473602295
1622208728.823004,4032,0.8132617473602295
1622208854.037693,4448,0.8757617473602295
1622208960.002473,4800,0.9695117473602295
1622209008.364457,4960,0.8757617473602295
1622209037.397564,5056,0.8445117473602295
1622209124.466548,5344,0.8445117473602295
1622209134.123313,5376,0.9382617473602295
1622209230.624403,5696,0.8445117473602295
1622209278.936225,5856,0.8757617473602295
1622209298.294915,5920,0.9070117473602295
1622209307.946272,5952,0.9070117473602295
1622209346.6647,6080,0.7820117473602295
1622209423.977486,6336,0.8445117473602295
1622209501.295312,6592,0.9695117473602295
1622209510.96394,6624,0.9695117473602295
1622209559.26033,6784,1.0007617473602295
1622209666.467127,7136,0.9695117473602295
1622209725.018633,7328,1.0007617473602295
1622209773.226601,7488,0.9382617473602295
1622209802.199546,7584,0.9070117473602295
1622209917.952734,7968,0.7507617473602295
1622209975.825,8160,0.7507617473602295
1622210023.953112,8320,0.8445117473602295
1622210091.397386,8544,0.9070117473602295
1622210129.986699,8672,0.9695117473602295
1622210149.240466,8736,0.8757617473602295
1622210332.722417,9344,0.9070117473602295
1622210380.966496,9504,0.8132617473602295
1622210390.595476,9536,0.8757617473602295
1622210438.864123,9696,0.8757617473602295
1622210487.157957,9856,0.9382617473602295
1622210506.51409,9920,0.9382617473602295
1622210583.743008,10176,0.9695117473602295
1622210593.439477,10208,0.9070117473602295
1622210661.120894,10432,0.9382617473602295
1622210699.702649,10560,0.8132617473602295
1622210786.558442,10848,0.8445117473602295
1622210863.703478,11104,0.7820117473602295
1622211018.466609,11616,0.9070117473602295
1622211057.151018,11744,0.8757617473602295
1622211115.089415,11936,0.8132617473602295
1622211153.718746,12064,0.8445117473602295
1622211173.078599,12128,0.9382617473602295
1622211578.47774,13472,1.0007617473602295
1622211588.127369,13504,0.8757617473602295
1622211607.470994,13568,0.7820117473602295
1622211665.437908,13760,0.7195117473602295
1622211752.329802,14048,0.9382617473602295
1622211771.637927,14112,0.8132617473602295
1622211781.260629,14144,1.0945117473602295
1622211810.197087,14240,0.8757617473602295
1622211868.091511,14432,0.9070117473602295
1622211954.875243,14720,0.9070117473602295
1622211983.884254,14816,0.8132617473602295
1622211993.55068,14848,0.8445117473602295
1622212090.109416,15168,0.9382617473602295
1622212254.146316,15712,0.7507617473602295
1622212273.423878,15776,0.7820117473602295
1622212408.400847,16224,0.6882617473602295
1622212456.629404,16384,0.8445117473602295
1622212475.893296,16448,0.8132617473602295
1622212504.760305,16544,0.9382617473602295
1622212581.843944,16800,0.7820117473602295
1622212639.638755,16992,1.0007617473602295
1622212658.942589,17056,1.0320117473602295
1622212687.865235,17152,0.8132617473602295
1622212745.661405,17344,0.8132617473602295
1622212793.839648,17504,1.0007617473602295
1622214015.442507,17824,0.8757617473602295
1622214073.201846,18016,0.7820117473602295
1622214131.036272,18208,0.8757617473602295
1622214169.591276,18336,0.9382617473602295
1622214227.545623,18528,0.7195117473602295
1622214246.876605,18592,0.9695117473602295
1622214256.549439,18624,0.9382617473602295
1622214275.889512,18688,0.8445117473602295
1622214295.212887,18752,0.8445117473602295
1622214304.875536,18784,0.9070117473602295
1622214353.184051,18944,0.8445117473602295
1622214362.831072,18976,0.8445117473602295
1622214449.861007,19264,1.0007617473602295
1622214507.852823,19456,0.8132617473602295
1622214527.241744,19520,0.7507617473602295
1622214575.670515,19680,0.8445117473602295
1622214624.251488,19840,0.9695117473602295
1622214643.629006,19904,0.7820117473602295
1622214759.743233,20288,0.9695117473602295
1622214827.454985,20512,1.0007617473602295
1622214837.14339,20544,0.9382617473602295
1622214856.515422,20608,1.0320117473602295
1622214875.83278,20672,0.8445117473602295
1622214885.444447,20704,0.8445117473602295
1622214904.748121,20768,0.8757617473602295
1622215020.591344,21152,0.8445117473602295
1622215049.635782,21248,0.7507617473602295
1622215088.385066,21376,0.8445117473602295
1622215117.46178,21472,0.9070117473602295
1622215146.486099,21568,0.6882617473602295
1622215185.217282,21696,0.9695117473602295
1622215194.884785,21728,0.9070117473602295
1622215233.586466,21856,0.9695117473602295
1622215281.876206,22016,0.9382617473602295
1622215291.562059,22048,0.6882617473602295
